Category,Title,Datasource
Tenure,State Forest Flora Reserves  c.FC,P:\Corporate\Layers\Tenure\CrownEstate\FNSW_FloraReserves_P.lyr
Tenure,Wilderness Declared ,P:\Corporate\Layers\Tenure\Conservation\WildernessDeclared_P.lyr
Tenure,Wilderness Identified ,P:\Corporate\Layers\Tenure\Conservation\WildernessIdentified_P.lyr
Tenure,Wild Rivers Declared  ,P:\Corporate\Layers\Water\Classification\RiversWild_P.lyr
Tenure,Wild River Catchments Declared  ,P:\Corporate\Layers\Water\Classification\CatchmentsWildRivers_P.lyr
Tenure,World Heritage Areas (1994) ,P:\Corporate\Layers\Tenure\Conservation\WorldHeritageAreas_P.lyr
Vegetation,Biometric Shoalhaven Eurobodalla Bega Veg,P:\Corporate\Layers\Vegetation\VegClassification\BiometricShoalhavenEurobodallaBega_VIS3900_P.lyr
Vegetation,Central Southern NSW ADS40 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegCentralSouthernNSW_ADS40_VIS3884_P.lyr
Vegetation,Coastal Reserves Veg NE (Griffiths Wilson),P:\Corporate\Layers\Vegetation\VegClassification\CoastVeg_NE_NSW_VIS3885_P.lyr
Vegetation,CRAFTI Floristics UNE,P:\Corporate\Layers\Vegetation\VegClassification\Floristics_CRA_Nthn_CRAFTI_UNE_VIS1108_P.lyr
Vegetation,CRAFTI Floristics LNE,P:\Corporate\Layers\Vegetation\VegClassification\Floristics_CRA_Nthn_CRAFTI_LNE_VIS1082_P.lyr
Vegetation,Cumberland Plain Gt 10%  2007 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegCumberlandPlain_cc_gt_10pc_2007_Extant_VIS3785_P.lyr                    
Vegetation,Estuarine Veg 1986,P:\Corporate\Layers\Vegetation\VegClassification\EstuarineVegetation1986_VIS4134_P.lyr
Vegetation,Far South Coast Veg (Beukers-Miles),P:\Corporate\Layers\Vegetation\VegClassification\VegBeukersMiles_FSC_M55_P.lyr
Vegetation,Forest Ecosystems Sthn Forests (Gellie),P:\Corporate\Layers\Vegetation\VegClassification\ForestEcosystemsSthnForestsGellie2005_LCC_P.lyr
Vegetation,Greater Hunter Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegHunterGreater_VIS3855_P.lyr
Vegetation,Illawarra 2002 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegIllawarra2002_VIS3778_VIS.lyr                                                                
Vegetation,LHCC REMS Veg 2000,P:\Corporate\Layers\Vegetation\VegClassification\VegLowerHunterCentralCoastREMS_2000_VIS2225_VIS.lyr
Vegetation,Nandewar WRA API Veg ,P:\Corporate\Layers\Vegetation\VegClassification\VegNandewarWRA_VIS12_P.lyr
Vegetation,Northern Rivers CMA Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegNthnRiversCMA_VIS524_P.lyr
Vegetation,Rainforest NE,P:\Corporate\Layers\Vegetation\Extent\RainforestNE_NSW_VIS3887_P.lyr
Vegetation,SCIVI Sydney South Coast Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegSCIVI_SydneySouthCoast_VIS2230_P.lyr
Vegetation,State Forests Forest Types,P:\Corporate\Layers\Vegetation\VegClassification\ForestTypesFNSW_VIS4026_P.lyr
Vegetation,Sydney Metro 2016 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegSydneyMetro_VIS4489_P.lyr                            
Vegetation,Warragamba 2003 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegWarragamba2003_VIS2380_VIS.lyr                                                      
Vegetation,Woronora 2003 Veg,P:\Corporate\Layers\Vegetation\VegClassification\VegWoronora2003_VIS2387_VIS.lyr                                                           
Water,Catchments Major c.LPI,P:\Corporate\Layers\Land\Landform\Catchments_P.lyr
Water,Catchments Sub ,P:\Corporate\Layers\Water\Classification\SubCatchmentsStressedRivers_P.lyr
Water,Land & Water  c.LPI,P:\Corporate\Layers\Marine\MarineFeatures\CoastlinePolygon25K_P.lyr
Water,Land & Low Water (North East)  c.LPI,P:\Corporate\Layers\Marine\MarineFeatures\LandAndLowWaterNorthEast_P.lyr
Water,Rivers Major  c.LPI,P:\Corporate\Layers\Water\Drainage\RiversMajor250k_P.lyr
Water,Waterbodies (25k to 50k)  c.LPI,P:\Corporate\Layers\Water\Drainage\WaterBody25to50K_P.lyr
Water,Watercourses (25k to 50k)  c.LPI,P:\Corporate\Layers\Water\Drainage\Watercourse25to50K_P.lyr
